21:13:22.978 -> angle read:14.00 | controller signal:1498.20 | 
21:13:23.045 -> angle read:14.00 | controller signal:1499.30 | 
21:13:23.079 -> angle read:14.00 | controller signal:1499.30 | 
21:13:23.113 -> angle read:13.00 | controller signal:1513.50 | 
21:13:23.182 -> angle read:14.00 | controller signal:1513.50 | 
21:13:23.215 -> angle read:14.00 | controller signal:1502.60 | 
21:13:23.284 -> angle read:14.00 | controller signal:1502.60 | 
21:13:23.319 -> angle read:14.00 | controller signal:1503.70 | 
21:13:23.388 -> angle read:14.00 | controller signal:1503.70 | 
21:13:23.421 -> angle read:14.00 | controller signal:1503.70 | 
21:13:23.491 -> angle read:14.00 | controller signal:1504.80 | 
21:13:23.526 -> angle read:14.00 | controller signal:1504.80 | 
21:13:23.596 -> angle read:14.00 | controller signal:1504.80 | 
21:13:23.631 -> angle read:14.00 | controller signal:1505.90 | 
21:13:23.665 -> angle read:14.00 | controller signal:1505.90 | 
21:13:23.734 -> angle read:14.00 | controller signal:1507.00 | 
21:13:23.769 -> angle read:14.00 | controller signal:1507.00 | 
21:13:23.839 -> angle read:14.00 | controller signal:1508.10 | 
21:13:23.874 -> angle read:15.00 | controller signal:1508.10 | 
21:13:23.942 -> angle read:13.00 | controller signal:1522.30 | 
21:13:23.977 -> angle read:14.00 | controller signal:1522.30 | 
21:13:24.047 -> angle read:14.00 | controller signal:1522.30 | 
21:13:24.082 -> angle read:14.00 | controller signal:1511.40 | 
21:13:24.117 -> angle read:14.00 | controller signal:1511.40 | 
21:13:24.186 -> angle read:14.00 | controller signal:1511.40 | 
21:13:24.219 -> angle read:14.00 | controller signal:1512.50 | 
21:13:24.286 -> angle read:14.00 | controller signal:1512.50 | 
21:13:24.321 -> angle read:14.00 | controller signal:1513.60 | 
21:13:24.387 -> angle read:15.00 | controller signal:1513.60 | 
21:13:24.422 -> angle read:14.00 | controller signal:1514.70 | 
21:13:24.492 -> angle read:14.00 | controller signal:1514.70 | 
21:13:24.526 -> angle read:14.00 | controller signal:1515.80 | 
21:13:24.595 -> angle read:14.00 | controller signal:1515.80 | 
21:13:24.628 -> angle read:14.00 | controller signal:1515.80 | 
21:13:24.662 -> angle read:15.00 | controller signal:1503.80 | 
21:13:24.731 -> angle read:14.00 | controller signal:1503.80 | 
21:13:24.765 -> angle read:14.00 | controller signal:1503.80 | 
21:13:24.834 -> angle read:14.00 | controller signal:1516.90 | 
21:13:24.869 -> angle read:14.00 | controller signal:1516.90 | 
21:13:24.937 -> angle read:14.00 | controller signal:1518.00 | 
21:13:24.971 -> angle read:14.00 | controller signal:1518.00 | 
21:13:25.041 -> angle read:15.00 | controller signal:1518.00 | 
21:13:25.075 -> angle read:15.00 | controller signal:1506.00 | 
21:13:25.143 -> angle read:14.00 | controller signal:1506.00 | 
21:13:25.178 -> angle read:15.00 | controller signal:1506.00 | 
21:13:25.212 -> angle read:14.00 | controller signal:1519.10 | 
21:13:25.279 -> angle read:15.00 | controller signal:1519.10 | 
21:13:25.314 -> angle read:14.00 | controller signal:1520.20 | 
